Time,Scenario,Current_A,Max_Cell_V,Min_Cell_V,Temp_C,BMS_Status,SoC_Estimate
0.0,OC_Fault,10.0,3.749999861111111,3.749999861111111,25.1,1,0.8000002777777778
0.01,OC_Fault,10.0,3.7499997222222223,3.7499997222222223,25.1,1,0.8000005555555556
0.02,OC_Fault,10.0,3.7499995833333335,3.7499995833333335,25.1,1,0.8000008333333334
0.03,OC_Fault,10.0,3.7499994444444447,3.7499994444444447,25.1,1,0.8000011111111112
0.04,OC_Fault,10.0,3.749999305555556,3.749999305555556,25.1,1,0.8000013888888889
0.05,OC_Fault,10.0,3.7499991666666666,3.7499991666666666,25.1,1,0.8000016666666667
0.060000000000000005,OC_Fault,10.0,3.7499990277777777,3.7499990277777777,25.1,1,0.8000019444444445
0.07,OC_Fault,10.0,3.749998888888889,3.749998888888889,25.1,1,0.8000022222222223
0.08,OC_Fault,10.0,3.74999875,3.74999875,25.1,1,0.8000025000000001
0.09,OC_Fault,10.0,3.749998611111111,3.749998611111111,25.1,1,0.8000027777777778
0.09999999999999999,OC_Fault,10.0,3.7499984722222224,3.7499984722222224,25.1,1,0.8000030555555556
0.10999999999999999,OC_Fault,10.0,3.7499983333333335,3.7499983333333335,25.1,1,0.8000033333333334
0.11999999999999998,OC_Fault,10.0,3.7499981944444447,3.7499981944444447,25.1,1,0.8000036111111112
0.12999999999999998,OC_Fault,10.0,3.749998055555556,3.749998055555556,25.1,1,0.800003888888889
0.13999999999999999,OC_Fault,10.0,3.7499979166666666,3.7499979166666666,25.1,1,0.8000041666666667
0.15,OC_Fault,10.0,3.7499977777777778,3.7499977777777778,25.1,1,0.8000044444444445
0.16,OC_Fault,10.0,3.749997638888889,3.749997638888889,25.1,1,0.8000047222222223
0.17,OC_Fault,10.0,3.7499975,3.7499975,25.1,1,0.8000050000000001
0.18000000000000002,OC_Fault,10.0,3.7499973611111113,3.7499973611111113,25.1,1,0.8000052777777779
0.19000000000000003,OC_Fault,10.0,3.7499972222222224,3.7499972222222224,25.1,1,0.8000055555555556
0.20000000000000004,OC_Fault,10.0,3.7499970833333336,3.7499970833333336,25.1,1,0.8000058333333334
0.21000000000000005,OC_Fault,10.0,3.7499969444444443,3.7499969444444443,25.1,1,0.8000061111111112
0.22000000000000006,OC_Fault,10.0,3.7499968055555555,3.7499968055555555,25.1,1,0.800006388888889
0.23000000000000007,OC_Fault,10.0,3.7499966666666666,3.7499966666666666,25.1,1,0.8000066666666668
0.24000000000000007,OC_Fault,10.0,3.749996527777778,3.749996527777778,25.1,1,0.8000069444444445
0.25000000000000006,OC_Fault,10.0,3.749996388888889,3.749996388888889,25.1,1,0.8000072222222223
0.26000000000000006,OC_Fault,10.0,3.74999625,3.74999625,25.1,1,0.8000075000000001
0.2700000000000001,OC_Fault,10.0,3.7499961111111113,3.7499961111111113,25.1,1,0.8000077777777779
0.2800000000000001,OC_Fault,10.0,3.7499959722222225,3.7499959722222225,25.1,1,0.8000080555555557
0.2900000000000001,OC_Fault,10.0,3.7499958333333336,3.7499958333333336,25.1,1,0.8000083333333334
0.3000000000000001,OC_Fault,10.0,3.7499956944444444,3.7499956944444444,25.1,1,0.8000086111111112
0.3100000000000001,OC_Fault,10.0,3.7499955555555555,3.7499955555555555,25.1,1,0.800008888888889
0.3200000000000001,OC_Fault,10.0,3.7499954166666667,3.7499954166666667,25.1,1,0.8000091666666668
0.3300000000000001,OC_Fault,10.0,3.749995277777778,3.749995277777778,25.1,1,0.8000094444444446
0.34000000000000014,OC_Fault,10.0,3.749995138888889,3.749995138888889,25.1,1,0.8000097222222223
0.35000000000000014,OC_Fault,10.0,3.749995,3.749995,25.1,1,0.8000100000000001
0.36000000000000015,OC_Fault,10.0,3.7499948611111114,3.7499948611111114,25.1,1,0.8000102777777779
0.37000000000000016,OC_Fault,10.0,3.749994722222222,3.749994722222222,25.1,1,0.8000105555555557
0.38000000000000017,OC_Fault,10.0,3.7499945833333332,3.7499945833333332,25.1,1,0.8000108333333334
0.3900000000000002,OC_Fault,10.0,3.7499944444444444,3.7499944444444444,25.1,1,0.8000111111111112
0.4000000000000002,OC_Fault,10.0,3.7499943055555556,3.7499943055555556,25.1,1,0.800011388888889
0.4100000000000002,OC_Fault,10.0,3.7499941666666667,3.7499941666666667,25.1,1,0.8000116666666668
0.4200000000000002,OC_Fault,10.0,3.749994027777778,3.749994027777778,25.1,1,0.8000119444444446
0.4300000000000002,OC_Fault,10.0,3.749993888888889,3.749993888888889,25.1,1,0.8000122222222223
0.4400000000000002,OC_Fault,10.0,3.7499937500000002,3.7499937500000002,25.1,1,0.8000125000000001
0.45000000000000023,OC_Fault,10.0,3.7499936111111114,3.7499936111111114,25.1,1,0.8000127777777779
0.46000000000000024,OC_Fault,10.0,3.749993472222222,3.749993472222222,25.1,1,0.8000130555555557
0.47000000000000025,OC_Fault,10.0,3.7499933333333333,3.7499933333333333,25.1,1,0.8000133333333335
0.48000000000000026,OC_Fault,10.0,3.7499931944444445,3.7499931944444445,25.1,1,0.8000136111111112
0.49000000000000027,OC_Fault,10.0,3.7499930555555556,3.7499930555555556,25.1,1,0.800013888888889
0.5000000000000002,OC_Fault,10.0,3.749992916666667,3.749992916666667,25.1,1,0.8000141666666668
0.5100000000000002,OC_Fault,10.0,3.749992777777778,3.749992777777778,25.1,1,0.8000144444444446
0.5200000000000002,OC_Fault,10.0,3.749992638888889,3.749992638888889,25.1,1,0.8000147222222224
0.5300000000000002,OC_Fault,10.0,3.7499925,3.7499925,25.1,1,0.8000150000000001
0.5400000000000003,OC_Fault,10.0,3.749992361111111,3.749992361111111,25.1,1,0.8000152777777779
0.5500000000000003,OC_Fault,10.0,3.749992222222222,3.749992222222222,25.1,1,0.8000155555555557
0.5600000000000003,OC_Fault,10.0,3.7499920833333333,3.7499920833333333,25.1,1,0.8000158333333335
0.5700000000000003,OC_Fault,10.0,3.7499919444444445,3.7499919444444445,25.1,1,0.8000161111111113
0.5800000000000003,OC_Fault,10.0,3.7499918055555557,3.7499918055555557,25.1,1,0.800016388888889
0.5900000000000003,OC_Fault,10.0,3.749991666666667,3.749991666666667,25.1,1,0.8000166666666668
0.6000000000000003,OC_Fault,10.0,3.749991527777778,3.749991527777778,25.1,1,0.8000169444444446
0.6100000000000003,OC_Fault,10.0,3.749991388888889,3.749991388888889,25.1,1,0.8000172222222224
0.6200000000000003,OC_Fault,10.0,3.74999125,3.74999125,25.1,1,0.8000175000000002
0.6300000000000003,OC_Fault,10.0,3.749991111111111,3.749991111111111,25.1,1,0.8000177777777779
0.6400000000000003,OC_Fault,10.0,3.749990972222222,3.749990972222222,25.1,1,0.8000180555555557
