Time,Scenario,In_Current,Max_Cell_V,Min_Cell_V,Temp_C,Status,SoC_Estimate,V_Plausibility_Err
0.0,REQ_01_SoC,100.0,2.8499986111111113,2.8499986111111113,35.0,1,0.8000027777777778,0.0
0.01,REQ_01_SoC,100.0,2.8499972222222225,2.8499972222222225,35.0,1,0.8000055555555556,0.0
0.02,REQ_01_SoC,100.0,2.8499958333333337,2.8499958333333337,35.0,1,0.8000083333333334,0.0
0.03,REQ_01_SoC,100.0,2.8499944444444445,2.8499944444444445,35.0,1,0.8000111111111112,0.0
0.04,REQ_01_SoC,100.0,2.8499930555555557,2.8499930555555557,35.0,1,0.800013888888889,0.0
0.05,REQ_01_SoC,100.0,2.849991666666667,2.849991666666667,35.0,1,0.8000166666666668,0.0
0.060000000000000005,REQ_01_SoC,100.0,2.8499902777777777,2.8499902777777777,35.0,1,0.8000194444444446,0.0
0.07,REQ_01_SoC,100.0,2.849988888888889,2.849988888888889,35.0,1,0.8000222222222224,0.0
0.08,REQ_01_SoC,100.0,2.8499875,2.8499875,35.0,1,0.8000250000000002,0.0
0.09,REQ_01_SoC,100.0,2.8499861111111113,2.8499861111111113,35.0,1,0.800027777777778,0.0
0.09999999999999999,REQ_01_SoC,100.0,2.8499847222222225,2.8499847222222225,35.0,1,0.8000305555555558,0.0
0.10999999999999999,REQ_01_SoC,100.0,2.8499833333333333,2.8499833333333333,35.0,1,0.8000333333333336,0.0
0.11999999999999998,REQ_01_SoC,100.0,2.8499819444444445,2.8499819444444445,35.0,1,0.8000361111111114,0.0
0.12999999999999998,REQ_01_SoC,100.0,2.8499805555555557,2.8499805555555557,35.0,1,0.8000388888888892,0.0
0.13999999999999999,REQ_01_SoC,100.0,2.8499791666666665,2.8499791666666665,35.0,1,0.800041666666667,0.0
0.15,REQ_01_SoC,100.0,2.8499777777777777,2.8499777777777777,35.0,1,0.8000444444444448,0.0
0.16,REQ_01_SoC,100.0,2.849976388888889,2.849976388888889,35.0,1,0.8000472222222226,0.0
0.17,REQ_01_SoC,100.0,2.849975,2.849975,35.0,1,0.8000500000000004,0.0
0.18000000000000002,REQ_01_SoC,100.0,2.8499736111111114,2.8499736111111114,35.0,1,0.8000527777777782,0.0
0.19000000000000003,REQ_01_SoC,100.0,2.849972222222222,2.849972222222222,35.0,1,0.800055555555556,0.0
0.20000000000000004,REQ_01_SoC,100.0,2.8499708333333333,2.8499708333333333,35.0,1,0.8000583333333338,0.0
0.21000000000000005,REQ_01_SoC,100.0,2.8499694444444446,2.8499694444444446,35.0,1,0.8000611111111116,0.0
0.22000000000000006,REQ_01_SoC,100.0,2.8499680555555553,2.8499680555555553,35.0,1,0.8000638888888894,0.0
0.23000000000000007,REQ_01_SoC,100.0,2.8499666666666665,2.8499666666666665,35.0,1,0.8000666666666671,0.0
0.24000000000000007,REQ_01_SoC,100.0,2.8499652777777778,2.8499652777777778,35.0,1,0.8000694444444449,0.0
0.25000000000000006,REQ_01_SoC,100.0,2.849963888888889,2.849963888888889,35.0,1,0.8000722222222227,0.0
0.26000000000000006,REQ_01_SoC,100.0,2.8499625,2.8499625,35.0,1,0.8000750000000005,0.0
0.2700000000000001,REQ_01_SoC,100.0,2.849961111111111,2.849961111111111,35.0,1,0.8000777777777783,0.0
